,year,title,genre,publisher,plataform,refs
55,1993,The Legend of Zelda: Link's Awakening,Action-adventure,Nintendo,Game Boy,8
56,1993,Mortal Kombat II,Fighting,Midway,Arcade,10
57,1993,Myst,Adventure,Broderbund,Macintosh,14
58,1993,NBA Jam,Sports,Midway,Arcade,15
59,1993,Phantasy Star IV,Role-playing,Sega,Sega Genesis,8
60,1993,Sam & Max Hit the Road,Adventure,LucasArts,PC,11
61,1993,Secret of Mana,Action role-playing,Square,Super NES,20
62,1993,SimCity 2000,City-building,Maxis,Macintosh,22
63,1993,Star Fox,Shoot 'em up,Nintendo,Super NES,7
64,1993,Syndicate,Real-time tactics,Electronic Arts,"Amiga, PC",8
65,1994,Donkey Kong Country,Platform,Nintendo,Super NES,14
66,1994,Doom II,First-person shooter,GT Interactive,PC,8
67,1994,EarthBound,Role-playing,Nintendo,Super NES,16
68,1994,Final Fantasy VI,Role-playing,Square,Super NES,25
69,1994,Star Wars: TIE Fighter,Space flight simulator,LucasArts,PC,18
70,1994,Super Metroid,Action-adventure,Nintendo,Super NES,36
71,1994,UFO: Enemy Unknown,Turn-based strategy,MicroProse,PC,19
72,1995,Chrono Trigger,Role-playing,Square,Super NES,34
73,1995,Command & Conquer,Real-time strategy,Virgin Interactive,PC,7
74,1995,Warcraft II: Tides of Darkness,Real-time strategy,Blizzard Entertainment,PC,10
75,1995,Wipeout,Racing,Psygnosis,"PC, PlayStation",9
76,1995,Yoshi's Island,Platform,Nintendo,Super NES,21
77,1996,Civilization II,Turn-based strategy,MicroProse,PC,13
78,1996,Command & Conquer: Red Alert,Real-time strategy,Virgin Interactive,PC,11
79,1996,Duke Nukem 3D,First-person shooter,GT Interactive,PC,9
80,1996,Nights into Dreams...,Action,Sega,Sega Saturn,7
81,1996,PaRappa the Rapper,Rhythm,Sony Computer Entertainment,PlayStation,6
82,1996,Pokémon Red and Blue,Role-playing,Nintendo,Game Boy,19
83,1996,Quake,First-person shooter,GT Interactive,PC,12
84,1996,Resident Evil,Survival horror,Capcom,PlayStation,14
85,1996,Super Mario 64,Platform,Nintendo,Nintendo 64,37
86,1996,Tomb Raider,Action-adventure,Eidos Interactive,"Sega Saturn, PlayStation",19
87,1997,Castlevania: Symphony of the Night,Action-adventure,Konami,PlayStation,31
88,1997,Diablo,Action role-playing,Blizzard Entertainment,PC,9
89,1997,Fallout,Role-playing,Interplay Entertainment,PC,9
90,1997,Final Fantasy Tactics,Tactical role-playing,Square,PlayStation,17
91,1997,Final Fantasy VII,Role-playing,Square,PlayStation,32
92,1997,GoldenEye 007,First-person shooter,Nintendo,Nintendo 64,31
93,1997,Gran Turismo,Racing,Sony Computer Entertainment,PlayStation,9
94,1997,Quake II,First-person shooter,Activision,PC,6
95,1997,Star Fox 64,Shoot 'em up,Nintendo,Nintendo 64,14
96,1997,Star Wars Jedi Knight: Dark Forces II,First-person shooter,LucasArts,PC,9
97,1997,Tekken 3,Fighting,Namco,Arcade,10
98,1997,Ultima Online,MMORPG,Electronic Arts,PC,6
99,1998,Dance Dance Revolution,Rhythm,Konami,Arcade,6
100,1998,Fallout 2,Role-playing,Interplay Entertainment,PC,15
101,1998,Grim Fandango,Adventure,LucasArts,PC,26
102,1998,Half-Life,First-person shooter,Sierra Studios,PC,20
103,1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo,Nintendo 64,35
104,1998,Metal Gear Solid,Stealth,Konami,PlayStation,28
105,1998,Panzer Dragoon Saga,Role-playing,Sega,Sega Saturn,10
106,1998,Resident Evil 2,Survival horror,Capcom,PlayStation,10
107,1998,Soulcalibur,Fighting,Namco,Arcade,13
108,1998,StarCraft,Real-time strategy,Blizzard Entertainment,PC,23
109,1998,Thief: The Dark Project,Stealth,Eidos Interactive,PC,9
110,1999,Age of Empires II,Real-time strategy,Microsoft,PC,11
111,1999,EverQuest,MMORPG,Sony Online Entertainment,PC,7
112,1999,Homeworld,Real-time strategy,Sierra Studios,PC,10
113,1999,Planescape: Torment,Role-playing,Interplay Entertainment,PC,14
114,1999,Quake III: Arena,First-person shooter,Activision,PC,10
115,1999,Shenmue,Adventure,Sega,Dreamcast,14
116,1999,Silent Hill,Survival horror,Konami,PlayStation,6
117,1999,System Shock 2,First-person shooter,Electronic Arts,PC,14
118,1999,Unreal Tournament,First-person shooter,GT Interactive,PC,7
119,2000,Baldur's Gate II: Shadows of Amn,Role-playing,Black Isle Studios,PC,13
120,2000,Counter-Strike,First-person shooter,Valve,PC,23
121,2000,Deus Ex,Action role-playing,Eidos Interactive,PC,22
122,2000,Diablo II,Action role-playing,Blizzard Entertainment,PC,26
123,2000,Jet Set Radio,Platform,Sega,Dreamcast,9
